neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Haaga,"1h, kk, kph, ra...",apartment,27.0,184000,6815,1956,-1/4,True,good,owned,E-2007
Merihaka,1 h + kk,apartment,30.0,221000,7367,1975,13/14,True,satisfactory,owned,E-2018
Kallio,"1h, avok, kph",apartment,23.0,196800,8557,1932,3/5,True,,owned,C-2018
Jätkäsaari,"1h, avok, lasit...",apartment,23.5,259000,11021,2020,6/12,True,good,owned,C-2013
Alppila,"1h, kk, kph/wc",apartment,26.0,205000,7885,1961,4/8,True,good,owned,G-2013
Malmi,1h + kk,apartment,33.0,151400,4588,1971,6/7,True,satisfactory,owned,E-2007
Kannelmäki,"1 h, kk, kh (yh...",apartment,26.0,160000,6154,1961,2/4,True,satisfactory,owned,D-2013
Lauttasaari,"1h, kph,avok.va...",apartment,29.0,224000,7724,1968,3/3,False,good,owned,F-2007
Punavuori,"1h, kk, kph, vh",apartment,30.0,248000,8267,1961,4/5,True,good,owned,E-2007
Sörnäinen,1h+k+kph+alkovi,apartment,31.0,188500,6081,1935,2/8,True,satisfactory,owned,E-2007
